Time,storPfo,rlsFloodPfo,rlsCompPfo,rlsSpillPfo,qForksPfo,qHopPfo,qClovPfo,qHldsPfo
25-Aug-1991,88621.3011998251,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
26-Aug-1991,88308.2888153356,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
27-Aug-1991,87995.0662959675,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
28-Aug-1991,87681.654654082,0,204.508576968,0,204.5368287,165.8142873,153.82278649,134
29-Aug-1991,87368.5512104178,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
30-Aug-1991,87045.211975843,0,209.30538022,0,209.30538022,170.58283882,158.59133801,138.76855152
31-Aug-1991,86726.2374734573,0,207.044227364,0,207.044227364,168.321685964,156.330185154,136.507398664
01-Sep-1991,86423.2010670584,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
02-Sep-1991,86119.9475181775,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
03-Sep-1991,85816.5048463189,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
04-Sep-1991,85512.8380293337,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
05-Sep-1991,85208.9820883791,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
06-Sep-1991,84905.0213829133,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
07-Sep-1991,84600.8505405853,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
08-Sep-1991,84296.5065768777,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
09-Sep-1991,83991.9413991451,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
10-Sep-1991,83687.2400635593,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
11-Sep-1991,83382.3245195684,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
12-Sep-1991,83077.2518028481,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
13-Sep-1991,82772.0139111116,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
14-Sep-1991,82466.5698122649,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
15-Sep-1991,82160.9815522868,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
16-Sep-1991,81875.0638249494,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
17-Sep-1991,81588.9879282158,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
18-Sep-1991,81302.6968264105,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
19-Sep-1991,81016.2755717384,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
20-Sep-1991,80729.6591591573,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
21-Sep-1991,80442.8956483926,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
22-Sep-1991,80155.9290063857,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
23-Sep-1991,79868.9232404007,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
24-Sep-1991,79581.71434119,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
25-Sep-1991,79294.3583477626,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
26-Sep-1991,79125.8074870508,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
27-Sep-1991,78958.4614123367,0,199.058603931,0,199.065666864,168.321685964,158.59133801,134
28-Sep-1991,78789.6023519516,0,199.065666864,0,199.065666864,168.321685964,158.59133801,134
29-Sep-1991,78633.7850333999,0,192.395105438,0,192.409231304,161.665250404,151.93490245,127.34356444
30-Sep-1991,78477.3157616891,0,192.621386485,0,192.621386485,161.877405585,152.147057631,127.555719621
01-Oct-1991,78366.8178481859,0,185.157583331,0,185.175240665,161.877405585,151.93490245,134
02-Oct-1991,78256.2568927731,0,185.09048546,0,185.175240665,161.877405585,151.93490245,134
03-Oct-1991,78145.4928049222,0,185.132863063,0,185.175240665,161.877405585,151.93490245,134
04-Oct-1991,78034.6306514892,0,185.09048546,0,185.175240665,161.877405585,151.93490245,134
05-Oct-1991,77923.8105277989,0,184.984541465,0,185.175240665,161.877405585,151.93490245,134
06-Oct-1991,77812.7872710019,0,184.991604405,0,185.175240665,161.877405585,151.93490245,134
07-Oct-1991,77701.6519420184,0,184.984541465,0,185.175240665,161.877405585,151.93490245,134
08-Oct-1991,77590.5376259277,0,184.878597465,0,185.175240665,161.877405585,151.93490245,134
09-Oct-1991,77479.5003586842,0,184.769122005,0,185.175240665,161.877405585,151.93490245,134
10-Oct-1991,77368.0428182918,0,184.903317715,0,185.175240665,161.877405585,151.93490245,134
11-Oct-1991,77256.5922826862,0,184.807968135,0,185.175240665,161.877405585,151.93490245,134
12-Oct-1991,77145.2678290193,0,184.684366825,0,185.175240665,161.877405585,151.93490245,134
13-Oct-1991,77033.8733318871,0,184.620800405,0,185.175240665,161.877405585,151.93490245,134
14-Oct-1991,76922.198650163,0,184.702024135,0,185.175240665,161.877405585,151.93490245,134
15-Oct-1991,76810.5800060992,0,184.578422815,0,185.175240665,161.877405585,151.93490245,134
16-Oct-1991,76677.3540075361,0,195.454821465,0,196.175240665,172.877405585,162.93490245,145
17-Oct-1991,76544.0369490049,0,195.412443865,0,196.175240665,172.877405585,162.93490245,145
18-Oct-1991,76410.4256995609,0,195.490136115,0,196.175240665,172.877405585,162.93490245,145
19-Oct-1991,76276.7340031474,0,195.366534795,0,196.175240665,172.877405585,162.93490245,145
20-Oct-1991,76051.8271862553,0,195.242933465,0,196.175240665,172.877405585,162.93490245,145
21-Oct-1991,75828.8758211561,0,195.200555865,0,196.175240665,172.877405585,162.93490245,145
22-Oct-1991,75609.9845374958,0,195.278248165,0,196.175240665,172.877405585,162.93490245,145
23-Oct-1991,75391.3383462021,0,195.154646765,0,196.175240665,172.877405585,162.93490245,145
24-Oct-1991,75175.6732550446,0,195.031045465,0,196.175240665,172.877405585,162.93490245,145
25-Oct-1991,75011.6213310077,0,190.086992365,0,196.175240665,172.877405585,162.93490245,145
26-Oct-1991,75469.8848689723,0,143.56697508,0,168.29783508,145,135.057496865,117.122594415
27-Oct-1991,75532.9372664971,0,138.212521,0,145,277.11496592,373.402462785,355.467560335
28-Oct-1991,75376.5133926706,0,186.530311265,0,187.925240665,164.627405585,217.49490245,342.118234
29-Oct-1991,75223.1586946177,0,187.147514665,0,189.305240665,166.007405585,164.31490245,161.8619485
30-Oct-1991,75087.1561887507,0,173.97852488,0,175.58887368,152.2910386,149.218535465,131.283633015
31-Oct-1991,74964.4852526557,0,166.89584278,0,168.29783508,145,141.697496865,123.762594415
01-Nov-1991,74873.4712267461,0,174.148674081,0,175.663673281,170,175.791289445,171.80275398
02-Nov-1991,74777.2489256644,0,174.025072781,0,175.663673281,170,175.561289445,171.57275398
03-Nov-1991,74684.5735709408,0,173.919128681,0,175.663673281,170,175.721289445,171.73275398
